dataset,pathology,n,mean,median,p25,p75
chexlocalize,Enlarged Cardiomediastinum,297,0.2599531475353473,0.2630057186753158,0.21021385922019017,0.30821669798973145
chexlocalize,Cardiomegaly,175,0.18186474642673123,0.17987139077208214,0.1553829837858548,0.2036557912256743
chexlocalize,Atelectasis,177,0.15802420551976948,0.1398831878261718,0.08556430766229332,0.21956329561527582
chexlocalize,Edema,83,0.2965549870521724,0.2979224304158283,0.21768628371457835,0.36973346888260256
chexlocalize,Lung Lesion,14,0.08720285237584677,0.03317154672985974,0.012320979431334322,0.08529689950017297
chexlocalize,Pleural Effusion,120,0.1762267127051182,0.13641759828750327,0.06606548677213456,0.24866524990532907
chexlocalize,Consolidation,35,0.16718761582045177,0.1298011266643906,0.08516161352679227,0.23107411110569187
chexlocalize,Pneumothorax,10,0.1391811592058923,0.1230581056090899,0.0871956199896548,0.14840939904622763
chestxdet10,Effusion,372,0.06613769326158749,0.048398494720458984,0.014679908752441406,0.10509490966796875
chestxdet10,Nodule,166,0.002560150192444583,0.0016927719116210938,0.0008642673492431641,0.003139495849609375
chestxdet10,Fibrosis,120,0.07154014905293783,0.039809226989746094,0.011006355285644531,0.1243894100189209
chestxdet10,Consolidation,446,0.07769665269039137,0.058972835540771484,0.034049034118652344,0.11888861656188965
chestxdet10,Emphysema,66,0.18967914581298828,0.19335460662841797,0.15819287300109863,0.22234535217285156
chestxdet10,Mass,31,0.026208723745038433,0.021114349365234375,0.016540050506591797,0.028250694274902344
chestxdet10,Fracture,115,0.008477468075959579,0.005347251892089844,0.0034055709838867188,0.008053779602050781
chestxdet10,Calcification,67,0.0026941299438476562,0.0006809234619140625,0.0002803802490234375,0.0021152496337890625
chestxdet10,Pneumothorax,42,0.026547681717645554,0.02005767822265625,0.005703449249267578,0.0367894172668457
chestxdet10,Atelectasis,51,0.033847958433861826,0.02738189697265625,0.01632213592529297,0.03750944137573242
