dataset,model,operator,total,grounded_yes,shortcut_yes,stable_no,unstable_no,unknown,grounded_yes_rate,shortcut_yes_rate,stable_no_rate,unstable_no_rate,reliable_coverage,needs_review_rate,source_file
ChestX-Det10,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,blur,1476,237,211,991,37,0,0.16056910569105692,0.1429539295392954,0.6714092140921409,0.025067750677506776,0.8319783197831978,0.16802168021680217,results/huatuogpt_vision_ccf_blur_summary.csv
ChestX-Det10,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,matched_patch,1476,214,234,973,55,0,0.14498644986449866,0.15853658536585366,0.6592140921409214,0.03726287262872629,0.80420054200542,0.19579945799457996,results/huatuogpt_vision_ccf_matched_patch_summary.csv
ChestX-Det10,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,zero,1476,261,187,1008,20,0,0.17682926829268292,0.12669376693766937,0.6829268292682927,0.013550135501355014,0.8597560975609756,0.1402439024390244,results/huatuogpt_vision_ccf_zero_summary.csv
ChestX-Det10,OpenGVLab/InternVL3-8B-hf,blur,1476,58,347,882,189,0,0.03929539295392954,0.2350948509485095,0.5975609756097561,0.12804878048780488,0.6368563685636857,0.36314363143631434,results/internvl3_ccf_blur_summary.csv
ChestX-Det10,OpenGVLab/InternVL3-8B-hf,matched_patch,1476,77,328,819,252,0,0.0521680216802168,0.2222222222222222,0.5548780487804879,0.17073170731707318,0.6070460704607046,0.39295392953929537,results/internvl3_ccf_matched_patch_summary.csv
ChestX-Det10,OpenGVLab/InternVL3-8B-hf,zero,1476,51,354,864,207,0,0.034552845528455285,0.23983739837398374,0.5853658536585366,0.1402439024390244,0.6199186991869918,0.3800813008130081,results/internvl3_ccf_zero_summary.csv
ChestX-Det10,microsoft/llava-med-v1.5-mistral-7b,blur,1476,118,871,459,28,0,0.07994579945799458,0.5901084010840109,0.31097560975609756,0.018970189701897018,0.39092140921409213,0.6090785907859079,results/llava_med_ccf_blur_summary.csv
ChestX-Det10,microsoft/llava-med-v1.5-mistral-7b,matched_patch,1476,78,911,379,108,0,0.052845528455284556,0.6172086720867209,0.2567750677506775,0.07317073170731707,0.30962059620596205,0.690379403794038,results/llava_med_ccf_matched_patch_summary.csv
ChestX-Det10,microsoft/llava-med-v1.5-mistral-7b,zero,1476,173,816,457,30,0,0.11720867208672087,0.5528455284552846,0.30962059620596205,0.02032520325203252,0.4268292682926829,0.573170731707317,results/llava_med_ccf_zero_summary.csv
ChestX-Det10,google/medgemma-4b-it,blur,1476,177,477,740,82,0,0.11991869918699187,0.3231707317073171,0.5013550135501355,0.05555555555555555,0.6212737127371274,0.3787262872628726,results/medgemma_ccf_blur_summary.csv
ChestX-Det10,google/medgemma-4b-it,matched_patch,1476,230,424,729,93,0,0.15582655826558264,0.2872628726287263,0.49390243902439024,0.06300813008130081,0.6497289972899729,0.3502710027100271,results/medgemma_ccf_matched_patch_summary.csv
ChestX-Det10,google/medgemma-4b-it,zero,1476,205,449,756,66,0,0.1388888888888889,0.30420054200542007,0.5121951219512195,0.044715447154471545,0.6510840108401084,0.3489159891598916,results/medgemma_ccf_zero_summary.csv
ChestX-Det10,Qwen/Qwen2.5-VL-7B-Instruct,blur,1476,156,207,1013,100,0,0.10569105691056911,0.1402439024390244,0.6863143631436315,0.06775067750677506,0.7920054200542005,0.20799457994579945,results/qwen25vl_ccf_blur_summary.csv
ChestX-Det10,Qwen/Qwen2.5-VL-7B-Instruct,matched_patch,1476,154,209,944,169,0,0.1043360433604336,0.14159891598915988,0.6395663956639567,0.11449864498644986,0.7439024390243902,0.25609756097560976,results/qwen25vl_ccf_matched_patch_summary.csv
ChestX-Det10,Qwen/Qwen2.5-VL-7B-Instruct,zero,1476,198,165,1080,33,0,0.13414634146341464,0.11178861788617886,0.7317073170731707,0.022357723577235773,0.8658536585365854,0.13414634146341464,results/qwen25vl_ccf_zero_summary.csv
ChestX-Det10,Qwen/Qwen3-VL-8B-Instruct,blur,1476,118,482,804,72,0,0.07994579945799458,0.3265582655826558,0.5447154471544715,0.04878048780487805,0.6246612466124661,0.37533875338753386,results/qwen3vl_ccf_blur_summary.csv
ChestX-Det10,Qwen/Qwen3-VL-8B-Instruct,matched_patch,1476,91,509,691,185,0,0.061653116531165314,0.3448509485094851,0.46815718157181574,0.12533875338753386,0.5298102981029811,0.470189701897019,results/qwen3vl_ccf_matched_patch_summary.csv
ChestX-Det10,Qwen/Qwen3-VL-8B-Instruct,zero,1476,145,455,818,58,0,0.09823848238482384,0.30826558265582654,0.55420054200542,0.03929539295392954,0.6524390243902439,0.3475609756097561,results/qwen3vl_ccf_zero_summary.csv
