model_key,model_name,pathology,total,original_yes,delta_flip
qwen25vl,Qwen2.5-VL,Effusion,372,18,0.7777777777777778
qwen25vl,Qwen2.5-VL,Nodule,166,10,0.4
qwen25vl,Qwen2.5-VL,Fibrosis,120,50,0.56
qwen25vl,Qwen2.5-VL,Consolidation,446,228,0.2982456140350877
qwen25vl,Qwen2.5-VL,Emphysema,66,35,0.9142857142857143
qwen25vl,Qwen2.5-VL,Mass,31,12,0.25
qwen25vl,Qwen2.5-VL,Fracture,115,0,0
qwen25vl,Qwen2.5-VL,Calcification,67,5,0.2
qwen25vl,Qwen2.5-VL,Pneumothorax,42,0,0
qwen25vl,Qwen2.5-VL,Atelectasis,51,5,0.8
qwen3vl,Qwen3-VL,Effusion,372,210,0.1
qwen3vl,Qwen3-VL,Nodule,166,90,0.1
qwen3vl,Qwen3-VL,Fibrosis,120,52,0.23076923076923078
qwen3vl,Qwen3-VL,Consolidation,446,99,0.10101010101010101
qwen3vl,Qwen3-VL,Emphysema,66,50,0.56
qwen3vl,Qwen3-VL,Mass,31,6,0.5
qwen3vl,Qwen3-VL,Fracture,115,0,0
qwen3vl,Qwen3-VL,Calcification,67,57,0.05263157894736842
qwen3vl,Qwen3-VL,Pneumothorax,42,9,0.5555555555555556
qwen3vl,Qwen3-VL,Atelectasis,51,27,0.0
huatuogpt_vision,HuatuoGPT-Vision,Effusion,372,12,0.8333333333333334
huatuogpt_vision,HuatuoGPT-Vision,Nodule,166,23,0.5217391304347826
huatuogpt_vision,HuatuoGPT-Vision,Fibrosis,120,76,0.631578947368421
huatuogpt_vision,HuatuoGPT-Vision,Consolidation,446,274,0.3467153284671533
huatuogpt_vision,HuatuoGPT-Vision,Emphysema,66,36,1.0
huatuogpt_vision,HuatuoGPT-Vision,Mass,31,15,0.3333333333333333
huatuogpt_vision,HuatuoGPT-Vision,Fracture,115,0,0
huatuogpt_vision,HuatuoGPT-Vision,Calcification,67,4,0.75
huatuogpt_vision,HuatuoGPT-Vision,Pneumothorax,42,0,0
huatuogpt_vision,HuatuoGPT-Vision,Atelectasis,51,8,0.625
medgemma,MedGemma,Effusion,372,238,0.2605042016806723
medgemma,MedGemma,Nodule,166,61,0.16393442622950818
medgemma,MedGemma,Fibrosis,120,29,0.8620689655172413
medgemma,MedGemma,Consolidation,446,160,0.61875
medgemma,MedGemma,Emphysema,66,61,0.08196721311475409
medgemma,MedGemma,Mass,31,14,0.6428571428571429
medgemma,MedGemma,Fracture,115,13,0.3076923076923077
medgemma,MedGemma,Calcification,67,22,0.2727272727272727
medgemma,MedGemma,Pneumothorax,42,10,0.3
medgemma,MedGemma,Atelectasis,51,46,0.15217391304347827
internvl3,InternVL3,Effusion,372,107,0.2803738317757009
internvl3,InternVL3,Nodule,166,3,0.3333333333333333
internvl3,InternVL3,Fibrosis,120,51,0.21568627450980393
internvl3,InternVL3,Consolidation,446,134,0.17164179104477612
internvl3,InternVL3,Emphysema,66,7,0.8571428571428571
internvl3,InternVL3,Mass,31,10,0.2
internvl3,InternVL3,Fracture,115,1,1.0
internvl3,InternVL3,Calcification,67,48,0.0625
internvl3,InternVL3,Pneumothorax,42,0,0
internvl3,InternVL3,Atelectasis,51,44,0.0
llava_med,LLaVA-Med,Effusion,372,359,0.016713091922005572
llava_med,LLaVA-Med,Nodule,166,99,0.10101010101010101
llava_med,LLaVA-Med,Fibrosis,120,119,0.0
llava_med,LLaVA-Med,Consolidation,446,242,0.256198347107438
llava_med,LLaVA-Med,Emphysema,66,66,0.0
llava_med,LLaVA-Med,Mass,31,0,0
llava_med,LLaVA-Med,Fracture,115,1,0.0
llava_med,LLaVA-Med,Calcification,67,52,0.0
llava_med,LLaVA-Med,Pneumothorax,42,0,0
llava_med,LLaVA-Med,Atelectasis,51,51,0.0
