model_key,model_name,pathology,total,original_yes,original_no,original_yes_rate,matched_patch_yes_to_no,matched_patch_yes_to_yes,matched_patch_no_to_yes,matched_patch_no_to_no,matched_patch_other,matched_patch_delta_flip,matched_patch_artifact_flip,zero_yes_to_no,zero_yes_to_yes,zero_no_to_yes,zero_no_to_no,zero_other,zero_delta_flip,zero_artifact_flip,blur_yes_to_no,blur_yes_to_yes,blur_no_to_yes,blur_no_to_no,blur_other,blur_delta_flip,blur_artifact_flip
qwen25vl,Qwen2.5-VL,Atelectasis,177,9,168,0.05084745762711865,6,3,8,160,0,0.6666666666666666,0.047619047619047616,5,4,3,165,0,0.5555555555555556,0.017857142857142856,4,5,1,167,0,0.4444444444444444,0.005952380952380952
qwen25vl,Qwen2.5-VL,Cardiomegaly,175,75,100,0.42857142857142855,53,22,9,91,0,0.7066666666666667,0.09,67,8,0,100,0,0.8933333333333333,0.0,70,5,0,100,0,0.9333333333333333,0.0
qwen25vl,Qwen2.5-VL,Consolidation,35,20,15,0.5714285714285714,4,16,5,10,0,0.2,0.3333333333333333,7,13,2,13,0,0.35,0.13333333333333333,8,12,2,13,0,0.4,0.13333333333333333
qwen25vl,Qwen2.5-VL,Edema,83,7,76,0.08433734939759036,7,0,0,76,0,1.0,0.0,7,0,0,76,0,1.0,0.0,7,0,0,76,0,1.0,0.0
qwen25vl,Qwen2.5-VL,Enlarged Cardiomediastinum,297,167,130,0.5622895622895623,45,122,56,74,0,0.2694610778443114,0.4307692307692308,160,7,0,130,0,0.9580838323353293,0.0,161,6,0,130,0,0.9640718562874252,0.0
qwen25vl,Qwen2.5-VL,Lung Lesion,14,5,9,0.35714285714285715,2,3,0,9,0,0.4,0.0,2,3,0,9,0,0.4,0.0,2,3,0,9,0,0.4,0.0
qwen25vl,Qwen2.5-VL,Pleural Effusion,120,1,119,0.008333333333333333,1,0,0,119,0,1.0,0.0,1,0,0,119,0,1.0,0.0,1,0,0,119,0,1.0,0.0
qwen25vl,Qwen2.5-VL,Pneumothorax,10,0,10,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0
qwen3vl,Qwen3-VL,Atelectasis,177,113,64,0.6384180790960452,8,105,31,33,0,0.07079646017699115,0.484375,23,90,9,55,0,0.20353982300884957,0.140625,28,85,10,54,0,0.24778761061946902,0.15625
qwen3vl,Qwen3-VL,Cardiomegaly,175,151,24,0.8628571428571429,30,121,8,16,0,0.1986754966887417,0.3333333333333333,73,78,3,21,0,0.48344370860927155,0.125,79,72,5,19,0,0.5231788079470199,0.20833333333333334
qwen3vl,Qwen3-VL,Consolidation,35,19,16,0.5428571428571428,8,11,3,13,0,0.42105263157894735,0.1875,12,7,0,16,0,0.631578947368421,0.0,12,7,0,16,0,0.631578947368421,0.0
qwen3vl,Qwen3-VL,Edema,83,71,12,0.8554216867469879,10,61,8,4,0,0.14084507042253522,0.6666666666666666,50,21,0,12,0,0.704225352112676,0.0,55,16,0,12,0,0.7746478873239436,0.0
qwen3vl,Qwen3-VL,Enlarged Cardiomediastinum,297,182,115,0.6127946127946128,167,15,11,104,0,0.9175824175824175,0.09565217391304348,167,15,6,109,0,0.9175824175824175,0.05217391304347826,165,17,6,109,0,0.9065934065934066,0.05217391304347826
qwen3vl,Qwen3-VL,Lung Lesion,14,12,2,0.8571428571428571,2,10,0,2,0,0.16666666666666666,0.0,4,8,0,2,0,0.3333333333333333,0.0,3,9,0,2,0,0.25,0.0
qwen3vl,Qwen3-VL,Pleural Effusion,120,57,63,0.475,28,29,6,57,0,0.49122807017543857,0.09523809523809523,34,23,4,59,0,0.5964912280701754,0.06349206349206349,35,22,3,60,0,0.6140350877192983,0.047619047619047616
qwen3vl,Qwen3-VL,Pneumothorax,10,1,9,0.1,1,0,0,9,0,1.0,0.0,1,0,0,9,0,1.0,0.0,1,0,0,9,0,1.0,0.0
huatuogpt_vision,HuatuoGPT-Vision,Atelectasis,177,17,160,0.096045197740113,9,8,8,152,0,0.5294117647058824,0.05,11,6,2,158,0,0.6470588235294118,0.0125,10,7,3,157,0,0.5882352941176471,0.01875
huatuogpt_vision,HuatuoGPT-Vision,Cardiomegaly,175,85,90,0.4857142857142857,72,13,4,86,0,0.8470588235294118,0.044444444444444446,78,7,0,90,0,0.9176470588235294,0.0,79,6,0,90,0,0.9294117647058824,0.0
huatuogpt_vision,HuatuoGPT-Vision,Consolidation,35,28,7,0.8,8,20,2,5,0,0.2857142857142857,0.2857142857142857,14,14,1,6,0,0.5,0.14285714285714285,12,16,1,6,0,0.42857142857142855,0.14285714285714285
huatuogpt_vision,HuatuoGPT-Vision,Edema,83,32,51,0.3855421686746988,32,0,0,51,0,1.0,0.0,32,0,0,51,0,1.0,0.0,31,1,0,51,0,0.96875,0.0
huatuogpt_vision,HuatuoGPT-Vision,Enlarged Cardiomediastinum,297,250,47,0.8417508417508418,67,183,28,19,0,0.268,0.5957446808510638,227,23,1,46,0,0.908,0.02127659574468085,231,19,0,47,0,0.924,0.0
huatuogpt_vision,HuatuoGPT-Vision,Lung Lesion,14,5,9,0.35714285714285715,2,3,0,9,0,0.4,0.0,2,3,0,9,0,0.4,0.0,2,3,0,9,0,0.4,0.0
huatuogpt_vision,HuatuoGPT-Vision,Pleural Effusion,120,7,113,0.058333333333333334,6,1,0,113,0,0.8571428571428571,0.0,7,0,0,113,0,1.0,0.0,5,2,0,113,0,0.7142857142857143,0.0
huatuogpt_vision,HuatuoGPT-Vision,Pneumothorax,10,0,10,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0
medgemma,MedGemma,Atelectasis,177,168,9,0.9491525423728814,20,148,4,5,0,0.11904761904761904,0.4444444444444444,76,92,1,8,0,0.4523809523809524,0.1111111111111111,80,88,1,8,0,0.47619047619047616,0.1111111111111111
medgemma,MedGemma,Cardiomegaly,175,95,80,0.5428571428571428,93,2,0,80,0,0.9789473684210527,0.0,94,1,0,80,0,0.9894736842105263,0.0,95,0,0,80,0,1.0,0.0
medgemma,MedGemma,Consolidation,35,18,17,0.5142857142857142,15,3,0,17,0,0.8333333333333334,0.0,16,2,0,17,0,0.8888888888888888,0.0,16,2,0,17,0,0.8888888888888888,0.0
medgemma,MedGemma,Edema,83,18,65,0.21686746987951808,18,0,0,65,0,1.0,0.0,17,1,0,65,0,0.9444444444444444,0.0,17,1,0,65,0,0.9444444444444444,0.0
medgemma,MedGemma,Enlarged Cardiomediastinum,297,10,287,0.03367003367003367,10,0,0,287,0,1.0,0.0,10,0,0,287,0,1.0,0.0,10,0,0,287,0,1.0,0.0
medgemma,MedGemma,Lung Lesion,14,7,7,0.5,5,2,0,7,0,0.7142857142857143,0.0,4,3,0,7,0,0.5714285714285714,0.0,4,3,0,7,0,0.5714285714285714,0.0
medgemma,MedGemma,Pleural Effusion,120,82,38,0.6833333333333333,18,64,11,27,0,0.21951219512195122,0.2894736842105263,74,8,0,38,0,0.9024390243902439,0.0,75,7,0,38,0,0.9146341463414634,0.0
medgemma,MedGemma,Pneumothorax,10,4,6,0.4,3,1,0,6,0,0.75,0.0,3,1,1,5,0,0.75,0.16666666666666666,3,1,1,5,0,0.75,0.16666666666666666
internvl3,InternVL3,Atelectasis,177,173,4,0.9774011299435028,0,173,4,0,0,0.0,1.0,0,173,3,1,0,0.0,0.75,0,173,3,1,0,0.0,0.75
internvl3,InternVL3,Cardiomegaly,175,175,0,1.0,0,175,0,0,0,0.0,0.0,0,175,0,0,0,0.0,0.0,0,175,0,0,0,0.0,0.0
internvl3,InternVL3,Consolidation,35,20,15,0.5714285714285714,4,16,6,9,0,0.2,0.4,11,9,0,15,0,0.55,0.0,12,8,0,15,0,0.6,0.0
internvl3,InternVL3,Edema,83,67,16,0.8072289156626506,31,36,5,11,0,0.4626865671641791,0.3125,64,3,0,16,0,0.9552238805970149,0.0,64,3,0,16,0,0.9552238805970149,0.0
