dataset,model_key,model_name,overall_yes_rate,positive_yes_rate_recall,negative_yes_rate_false_positive,path_yes_variance,always_yes_flag
chexlocalize,qwen25vl,Qwen2.5-VL,0.2552140504939627,0.31174533479692645,0.1986827661909989,0.05373226687187615,False
chexlocalize,qwen3vl,Qwen3-VL,0.22041259500542887,0.4,0.21844127332601537,0.10917272966083809,False
chexlocalize,huatuogpt_vision,HuatuoGPT-Vision,0.35016465422612514,0.4654226125137212,0.2349066959385291,0.08600730993945625,False
chexlocalize,medgemma,MedGemma,0.2711306256860593,0.44127332601536773,0.10098792535675083,0.06058870360162495,False
chexlocalize,internvl3,InternVL3,0.5812294182217344,0.8485181119648738,0.31394072447859495,0.11196578788286951,False
chexlocalize,llava_med,LLaVA-Med,0.2864983534577388,0.300768386388584,0.2722283205268935,0.1778930951050257,False
chestxdet10,qwen25vl,Qwen2.5-VL,0.19308943089430894,0.2459349593495935,0.1402439024390244,0.0292535203473496,False
chestxdet10,qwen3vl,Qwen3-VL,0.32926829268292684,0.4065040650406504,0.25203252032520324,0.05264423808431886,False
chestxdet10,huatuogpt_vision,HuatuoGPT-Vision,0.22018970189701897,0.3035230352303523,0.13685636856368563,0.03967883736560709,False
chestxdet10,medgemma,MedGemma,0.30420054200542007,0.44308943089430897,0.16531165311653118,0.04063642850299176,False
chestxdet10,internvl3,InternVL3,0.22865853658536586,0.27439024390243905,0.18292682926829268,0.06409741299699731,False
chestxdet10,llava_med,LLaVA-Med,0.6067073170731707,0.6700542005420054,0.5433604336043361,0.17219022700025488,False
